CodProvincia;Provincia;CodMunicipio;Municipio;Poblacion;Recaudación
1;Araba/Álava;1;Alegría-Dulantzi;2869;149
1;Araba/Álava;2;Amurrio;10114;349
1;Araba/Álava;3;Aramaio;1513;205
1;Araba/Álava;4;Artziniega;1861;37
1;Araba/Álava;6;Armiñón;231;302
1;Araba/Álava;8;Arrazua-Ubarrundia;983;125
1;Araba/Álava;9;Asparrena;1698;199
1;Araba/Álava;10;Ayala/Aiara;2918;328
1;Araba/Álava;11;Baños de Ebro/Mañueta;317;544
1;Araba/Álava;13;Barrundia;908;151
1;Araba/Álava;14;Berantevilla;480;574
1;Araba/Álava;16;Bernedo;568;292
1;Araba/Álava;17;Campezo/Kanpezu;1136;179
1;Araba/Álava;18;Zigoitia;1747;451
1;Araba/Álava;19;Kripan;194;393
1;Araba/Álava;20;Kuartango;358;46
1;Araba/Álava;21;Elburgo/Burgelu;629;273
1;Araba/Álava;22;Elciego;1037;229
1;Araba/Álava;23;Elvillar/Bilar;368;59
1;Araba/Álava;27;Iruraiz-Gauna;541;424
1;Araba/Álava;28;Labastida/Bastida;1508;113
1;Araba/Álava;30;Lagrán;180;57
1;Araba/Álava;31;Laguardia;1548;574
1;Araba/Álava;32;Lanciego/Lantziego;685;11
1;Araba/Álava;33;Lapuebla de Labarca;848;70
1;Araba/Álava;34;Leza;218;293
1;Araba/Álava;36;Laudio/Llodio;18498;118
1;Araba/Álava;37;Arraia-Maeztu;739;544
1;Araba/Álava;39;Moreda de Álava/Moreda Araba;246;277
1;Araba/Álava;41;Navaridas;220;503
1;Araba/Álava;42;Okondo;1157;142
1;Araba/Álava;43;Oyón-Oion;3305;479
1;mentira;1;mentira;0;179
1;Araba/Álava;44;Peñacerrada-Urizaharra;280;400
1;Araba/Álava;46;Erriberagoitia/Ribera Alta;790;461
1;Araba/Álava;47;Ribera Baja/Erribera Beitia;1332;332
1;Araba/Álava;49;Añana;166;272
1;Araba/Álava;51;Salvatierra/Agurain;4978;28
1;Araba/Álava;52;Samaniego;331;501
1;Araba/Álava;53;San Millán/Donemiliaga;719;55
1;Araba/Álava;54;Urkabustaiz;1350;134
1;Araba/Álava;55;Valdegovía/Gaubea;1067;503
1;Araba/Álava;56;Harana/Valle de Arana;278;579
1;Araba/Álava;57;Villabuena de Álava/Eskuernaga;319;168
1;Araba/Álava;58;Legutio;1762;504
1;Araba/Álava;59;Vitoria-Gasteiz;242223;409
1;Araba/Álava;60;Yécora/Iekora;285;124
1;Araba/Álava;61;Zalduondo;185;350
1;Araba/Álava;62;Zambrana;430;337
1;Araba/Álava;63;Zuia;2439;274
1;Araba/Álava;901;Iruña Oka/Iruña de Oca;3072;513
1;Araba/Álava;902;Lantarón;929;50
2;Albacete;1;Abengibre;888;142
2;Albacete;2;Alatoz;599;173
2;Albacete;3;Albacete;172472;92
2;Albacete;4;Albatana;782;425
2;Albacete;5;Alborea;849;227
2;Albacete;6;Alcadozo;723;416
2;Albacete;7;Alcalá del Júcar;1346;125
2;Albacete;8;Alcaraz;1597;140
2;Albacete;9;Almansa;25374;339
2;Albacete;10;Alpera;2417;510
2;Albacete;11;Ayna;794;427
2;Albacete;12;Balazote;2447;457
2;Albacete;13;Balsa de Ves;191;201
2;Albacete;14;Ballestero, El;465;556
2;Albacete;15;Barrax;2027;366
2;Albacete;16;Bienservida;712;30
2;Albacete;17;Bogarra;996;437
2;Albacete;18;Bonete;1225;338
2;Albacete;19;Bonillo, El;3012;531
2;Albacete;20;Carcelén;639;441
2;Albacete;21;Casas de Juan Núñez;1441;259
2;Albacete;22;Casas de Lázaro;446;583
2;Albacete;23;Casas de Ves;724;75
2;Albacete;24;Casas-Ibáñez;4843;187
2;Albacete;25;Caudete;10551;81
2;Albacete;26;Cenizate;1306;31
2;Albacete;27;Corral-Rubio;403;304
2;Albacete;28;Cotillas;157;238
2;Albacete;29;Chinchilla de Monte-Aragón;4116;325
2;Albacete;30;Elche de la Sierra;3941;275
2;Albacete;31;Férez;743;303
2;Albacete;32;Fuensanta;368;404
2;Albacete;33;Fuente-Álamo;2649;585
2;Albacete;34;Fuentealbilla;2013;175
2;Albacete;35;Gineta, La;2582;393
2;Albacete;36;Golosalvo;118;265
2;Albacete;37;Hellín;31262;201
2;Albacete;38;Herrera, La;349;40
2;Albacete;39;Higueruela;1310;544
2;Albacete;40;Hoya-Gonzalo;737;19
2;Albacete;41;Jorquera;431;20
2;Albacete;42;Letur;1074;127
2;Albacete;43;Lezuza;1582;207
2;Albacete;44;Liétor;1388;12
2;Albacete;45;Madrigueras;4836;206
2;Albacete;46;Mahora;1431;228
2;Albacete;47;Masegoso;122;136
2;Albacete;48;Minaya;1683;200
2;Albacete;49;Molinicos;1020;209
2;Albacete;50;Montalvos;124;266
2;Albacete;51;Montealegre del Castillo;2234;110
2;Albacete;52;Motilleja;589;335
2;Albacete;53;Munera;3757;119
2;Albacete;54;Navas de Jorquera;554;389
2;Albacete;55;Nerpio;1478;256
2;Albacete;56;Ontur;2246;313
2;Albacete;57;Ossa de Montiel;2645;371
2;Albacete;58;Paterna del Madera;443;498
2;Albacete;59;Peñascosa;387;360
